,arxiv_link,pdf_link,title,authors,abstract,submitted
0,https://arxiv.org/abs/2010.09593,https://arxiv.org/pdf/2010.09593,Multiclass Wound Image Classification using an Ensemble Deep CNN-based Classifier,"Authors: Behrouz Rostami, D. M. Anisuzzaman, Chuanbo Wang, Sandeep Gopalakrishnan, Jeffrey Niezgoda, Zeyun Yu","Abstract: Acute and chronic wounds are a challenge to healthcare systems around the world and affect many people's lives annually. Wound classification is a key step in wound diagnosis that would help clinicians to identify an optimal treatment procedure. Hence, having a high-performance classifier assists the specialists in the field to classify the wounds with l… ▽ More","Submitted 19 October, 2020; originally announced October 2020."
1,https://arxiv.org/abs/2010.09427,https://arxiv.org/pdf/2010.09427,A Privacy-Preserving Data Inference Framework for Internet of Health Things Networks,"Authors: James Jin Kang, Mahdi Dibaei, Gang Luo, Wencheng Yang, Xi Zheng","Abstract: Privacy protection in electronic healthcare applications is an important consideration due to the sensitive nature of personal health data. Internet of Health Things (IoHT) networks have privacy requirements within a healthcare setting. However, these networks have unique challenges and security requirements (integrity… ▽ More","Submitted 19 October, 2020; originally announced October 2020."
2,https://arxiv.org/abs/2010.09394,https://arxiv.org/pdf/2010.09394,Knowledge Graph-based Question Answering with Electronic Health Records,"Authors: Junwoo Park, Youngwoo Cho, Haneol Lee, Jaegul Choo, Edward Choi","Abstract: Question Answering (QA) on Electronic Health Records (EHR), namely EHR QA, can work as a crucial milestone towards developing an intelligent agent in healthcare. EHR data are typically stored in a relational database, which can also be converted to a Directed Acyclic Graph (DAG), allowing two approaches for EHR QA: Table-based QA and Knowledge Graph-based QA… ▽ More","Submitted 19 October, 2020; originally announced October 2020."
3,https://arxiv.org/abs/2010.08866,https://arxiv.org/pdf/2010.08866,MyWear: A Smart Wear for Continuous Body Vital Monitoring and Emergency Alert,"Authors: Sibi C. Sethuraman, Pranav Kompally, Saraju P. Mohanty, Uma Choppali",Abstract: Smart healthcare which is built as… ▽ More,"Submitted 17 October, 2020; originally announced October 2020."
4,https://arxiv.org/abs/2010.08793,https://arxiv.org/pdf/2010.08793,Threats and Corrective Measures for IoT Security with Observance to Cybercrime,"Authors: Sita Rani, Aman Kataria, Smarajit Ghosh, Vinod Karar, Takshi Gupta, Kyungroul Lee, Chang Choi","Abstract: …discussed in detail. This paper also presents the role of IoT forensics in cybercrime investigation in various domains like smart homes, smart cities, automated vehicles, healthcare, etc. Along with the role of advanced technologies like Artificial Intelligence, Machine Learning, Cloud computing, Edge computing, Fog computing, and Blockchain technology in cy… ▽ More","Submitted 17 October, 2020; originally announced October 2020."
5,https://arxiv.org/abs/2010.08698,https://arxiv.org/pdf/2010.08698,Is Image Encoding Beneficial for Deep Learning in Finance? An Analysis of Image Encoding Methods for the Application of Convolutional Neural Networks in Finance,"Authors: Dan Wang, Tianrui Wang, Ionuţ Florescu","Abstract: …technique (Hilbert Vector Arrangement). In this work we analyze fundamental financial data as well as financial ratio data and study companies from the financial, healthcare and IT sectors in the United States. We find that using imaging techniques to input data for CNN works better for financial ratio data but is not significantly better than simply using t… ▽ More","Submitted 16 October, 2020; originally announced October 2020."
6,https://arxiv.org/abs/2010.08660,https://arxiv.org/pdf/2010.08660,Semantics of the Black-Box: Can knowledge graphs help make deep learning systems more interpretable and explainable?,"Authors: Manas Gaur, Keyur Faldu, Amit Sheth","Abstract: …how this makes a fundamental difference in the interpretability and explainability of current approaches, and illustrate it with examples from natural language processing for healthcare and education applications. ▽ More","Submitted 16 October, 2020; originally announced October 2020."
7,https://arxiv.org/abs/2010.08570,https://arxiv.org/pdf/2010.08570,Generating Fact Checking Summaries for Web Claims,"Authors: Rahul Mishra, Dhruv Gupta, Markus Leippold","Abstract: …art by using improved claim and title guided hierarchical attention to model effective contextual cues. We show the efficacy of our approach on datasets concerning political, healthcare, and environmental issues. ▽ More","Submitted 16 October, 2020; originally announced October 2020."
8,https://arxiv.org/abs/2010.08250,https://arxiv.org/pdf/2010.08250,Biodegradable Polymeric Micro/Nano-Structures with Intrinsic Antifouling/Antimicrobial Properties:Relevance in Damaged Skin and Other Biomedical Applications,"Authors: Mario Milazzo, Giuseppe Gallone, Elena Marcello, Maria Donatella Mariniello, Luca Bruschini, Ipsita Roy, Serena Danti","Abstract: Bacterial colonization ofimplanted biomedical devicesis themain cause of healthcare-associated infections, estimated to be 8.8 million per year in Europe. Many infections originate from damaged skin, which lets microorganisms exploit injuries and surgical accesses as passageways to reach the implant site and inner organs. Therefore, an effective treatment of… ▽ More","Submitted 16 October, 2020; originally announced October 2020."
9,https://arxiv.org/abs/2010.08124,https://arxiv.org/pdf/2010.08124,Risk-Aware Decision Making in Service Robots to Minimize Risk of Patient Falls in Hospitals,"Authors: Roya Sabbagh Novin, Amir Yazdani, Andrew Merryweather, Tucker Hermans","Abstract: …is a crucial capability for autonomous systems to operate reliably in uncertain and dynamic environments. The concern of patient safety becomes even more critical in healthcare settings where robots interact with humans. In this paper, we propose a novel risk-aware planning framework to minimize the risk of patient falls by providing a patient with an assist… ▽ More","Submitted 15 October, 2020; originally announced October 2020."
10,https://arxiv.org/abs/2010.08100,https://arxiv.org/pdf/2010.08100,When Virtual Therapy and Art Meet: A Case Study of Creative Drawing Game in Virtual Environments,"Authors: Lauren Baron, Brian Cohn, Roghayeh Barmaki","Abstract: …among participants. This work offers implications on virtual reality and 3D-interactive systems, with specific contributions to virtual therapy, and serious games for healthcare applications. ▽ More","Submitted 15 October, 2020; originally announced October 2020."
11,https://arxiv.org/abs/2010.08056,https://arxiv.org/pdf/2010.08056,IoT Platform for COVID-19 Prevention and Control: A Survey,"Authors: Yudi Dong, Yu-Dong Yao","Abstract: …platform is preferred to be utilized to achieve this goal, due to its ubiquitous sensing ability and seamless connectivity. IoT technology is changing our lives through smart healthcare, smart home, and smart city, which aims to build a more convenient and intelligent community. This paper presents how the IoT could be incorporated into the epidemic preventi… ▽ More","Submitted 15 October, 2020; originally announced October 2020."
12,https://arxiv.org/abs/2010.08031,https://arxiv.org/pdf/2010.08031,QReLU and m-QReLU: Two novel quantum activation functions to aid medical diagnostics,"Authors: L. Parisi, D. Neagu, R. Ma, F. Campean","Abstract: …its unresolved dying ReLU problem, which poses challenges to reliable applications. This issue has obvious important implications for critical applications, such as those in healthcare. Recent approaches are just proposing variations of the activation function within the same unresolved dying ReLU challenge. This contribution reports a different research dir… ▽ More","Submitted 15 October, 2020; originally announced October 2020."
13,https://arxiv.org/abs/2010.07866,https://arxiv.org/pdf/2010.07866,Double Robust Representation Learning for Counterfactual Prediction,"Authors: Shuxi Zeng, Serge Assaad, Chenyang Tao, Shounak Datta, Lawrence Carin, Fan Li","Abstract: Causal inference, or counterfactual prediction, is central to decision making in healthcare, policy and social sciences. To de-bias causal estimators with high-dimensional data in observational studies, recent advances suggest the importance of combining machine learning models for both the propensity score and the outcome function. We propose a novel scalab… ▽ More","Submitted 16 October, 2020; v1 submitted 15 October, 2020; originally announced October 2020."
14,https://arxiv.org/abs/2010.07437,https://arxiv.org/pdf/2010.07437,Tracking Results and Utilization of Artificial Intelligence (tru-AI) in Radiology: Early-Stage COVID-19 Pandemic Observations,"Authors: Axel Wismüller, Larry Stockmaster","Abstract: …times in patients with emergent clinical findings, such as ICH or pulmonary embolism.We analyzed data of N=9,421 emergency-setting non-contrast head CT studies at a major US healthcare system acquired from November 1, 2019 through June 2, 2020, and compared two observation periods, namely (i) a pre-pandemic epoch from November 1, 2019 through February 29, 20… ▽ More","Submitted 14 October, 2020; originally announced October 2020."
